"date","name","party","facebook","twitter","location"
"9/24/15","Ted Cruz","R","1467586","512655",""
"9/24/15","Mark Everson","R","1856","6571",""
"9/24/15","Carly Fiorina","R","458055","569163",""
"9/24/15","Jim Gilmore","R","10476","1723",""
"9/24/15","Lindsey Graham","R","135799","27464",""
"9/24/15","Mike Huckabee","R","1845310","409128",""
"9/24/15","Bobby Jindal","R","283498","217720",""
"9/24/15","John Kasich","R","145547","110176",""
"9/24/15","George Pataki","R","19042","53694",""
"9/24/15","Rand Paul","R","2066534","690773",""
"9/24/15","Marco Rubio","R","1031225","874819",""
"9/24/15","Rick Santorum","R","265349","244496",""
"9/24/15","Lincoln Chafee","D","9655","19566",""
"9/24/15","Hillary Clinton","D","1402980","4318150",""
"9/24/15","Martin OMalley","D","79736","181",""
"9/24/15","Bernie Sanders","D","1564553","744462",""
"9/24/15","Jim Webb","D","31488","14180",""
"9/30/15","Donald Trump","R","3885205","4323634",""
"9/30/15","Jeb Bush","R","282596","321700",""
"9/30/15","Ben Carson","R","4050694","687706",""
"9/30/15","Chris Christie","R","187011","561175",""
"9/30/15","Ted Cruz","R","1474973","516190",""
"9/30/15","Mark Everson","R","1861","6542",""
"9/30/15","Carly Fiorina","R","467548","574848",""
"9/30/15","Jim Gilmore","R","10471","1743",""
"9/30/15","Lindsey Graham","R","136192","27636",""
"9/30/15","Mike Huckabee","R","1846069","410002",""
"9/30/15","Bobby Jindal","R","283967","217967",""
"9/30/15","John Kasich","R","146278","110701",""
"9/30/15","George Pataki","R","19088","53274",""
"9/30/15","Rand Paul","R","2066877","691745",""
"9/30/15","Marco Rubio","R","1037097","881574",""
"9/30/15","Rick Santorum","R","265338","244776",""
"9/30/15","Lincoln Chafee","D","9721","19627",""
"9/30/15","Hillary Clinton","D","1436338","4352120",""
"9/30/15","Martin OMalley","D","79894","182",""
"9/30/15","Bernie Sanders","D","1613400","760483",""
"9/30/15","Jim Webb","D","31577","14252",""
"10/12/15","Donald Trump","R","3978106","4395659",""
"10/12/15","Jeb Bush","R","284739","329250",""
"10/12/15","Ben Carson","R","4191904","723563",""
"10/12/15","Chris Christie","R","188033","563710",""
"10/12/15","Ted Cruz","R","1489798","522993",""
"10/12/15","Mark Everson","R","1863","6499",""
"10/12/15","Carly Fiorina","R","485760","585333",""
"10/12/15","Jim Gilmore","R","10458","1787",""
"10/12/15","Lindsey Graham","R","137267","27920",""
"10/12/15","Mike Huckabee","R","1848556","411947",""
"10/12/15","Bobby Jindal","R","284312","218879",""
"10/12/15","John Kasich","R","146880","111618",""
